week_num,Charlotte Pass,Falls Creek,Mt. Baw Baw,Mt. Buller,Mt. Hotham,Mt. Stirling,Perisher,Selwyn,Thredbo
1,4.0089764331961195,4.290955889797053,3.964415488228901,4.3366186913413145,4.591303824171486,3.567809193354876,4.371868588132696,3.8629656031168187,4.491178435542454
2,4.0089764331961195,4.274462364987392,3.9792527157153277,4.3366186913413145,4.625169068412534,3.6484111692592585,4.381793060064622,3.9808009927909787,4.389160526958784
3,3.9145121849811857,4.158832494612103,3.7270991245163714,4.266981704755149,4.541401590819529,3.249269435299606,4.362741508913639,3.837549148561243,4.459940445895077
4,3.9717816287266063,4.428331659509216,4.018950838205857,4.337821171625798,4.578569581306375,4.203527760298438,4.383768138705911,3.90551446061981,4.439006310243221
5,3.890395089102914,4.392450051658187,3.949940344328576,4.255857720572859,4.436037805207596,3.543880508899881,4.335075536135559,3.900447621334299,4.396294821915147
6,3.9088295641768402,4.2821223405736335,3.948559577121526,4.324506710877295,4.460963928138101,4.241123026579075,4.390238036779525,3.901258546284568,4.445476208316836
7,3.98619159035509,4.238971116177408,3.9901690949694304,4.302032625675864,4.592296004889142,4.100822512974139,4.366956491738789,3.4896177097610863,4.428847846570415
8,3.98619159035509,4.4113270340795765,3.9901690949694304,4.302032625675864,4.592296004889142,4.031885927009661,4.366956491738789,3.4896177097610863,4.428847846570415
9,3.958467167978104,4.2821223405736335,3.998152769423709,4.250987192650251,4.561287360977301,4.137283094073193,4.390238036779525,3.343937309382276,4.445476208316836
10,3.9605827547196126,4.280548348390578,3.775565921222875,4.2764077823882936,4.568786272668161,3.773499082848379,4.366956491738789,3.9342355286425916,4.428175777518376
11,4.1750178117227685,4.464973983762234,4.167192753019051,4.511605155554852,4.541961606351518,4.188281819587342,4.505402046356841,4.10210721678681,4.547768133540349
12,4.2048565550175745,4.442040912988448,4.02791852839899,4.438085637327807,4.626702483616162,4.21346947780372,4.505402046356841,4.033368033191659,4.547768133540349
13,4.1750178117227685,4.607531124716967,4.095029007834855,4.512574154497541,4.651563339122342,4.243687630335896,4.505402046356841,3.9561658048240558,4.451315544539518
14,4.1750178117227685,4.582928576955511,4.1491037305771705,4.533192559994988,4.651563339122342,3.932894289027204,4.505402046356841,4.0139932430040925,4.591334300348753
15,4.23488760298023,4.6064014782275065,4.1486432742309525,4.552652734752028,4.627276111298469,4.062931091345723,4.531842501218816,4.036449675017139,4.631412880603239
